Date,Name,close,high,low,netForeign,open,value,volume
01-05-2009,Financials,477.01,478.84,462.82,68013000.0,463.76,0.0,173514000.0
01-05-2009,Industrials,2258.89,2258.89,2167.74,19468000.0,2167.74,0.0,283502000.0
01-05-2009,HoldingFirms,955.51,962.54,901.72,39128000.0,901.72,0.0,250142000.0
01-05-2009,Property,659.44,665.91,632.53,15123000.0,633.17,0.0,245469000.0
01-05-2009,Services,1194.36,1202.76,1186.68,170727000.0,1198.25,0.0,460183000.0
01-05-2009,MiningAndOil,3372.05,3372.05,3271.79,-7865000.0,3271.93,0.0,22817000.0
01-05-2009,All Shares,1241.39,1242.67,1215.89,0.0,1216.15,0.0,0.0
01-05-2009,PSEi,1974.69,1979.86,1925.07,303897000.0,1925.75,0.0,1435631000.0
01-06-2009,Financials,472.97,479.25,470.38,77918000.0,479.25,0.0,272023000.0
01-06-2009,Industrials,2286.7,2296.65,2253.08,-8583000.0,2256.23,0.0,524637000.0
01-06-2009,HoldingFirms,951.42,957.96,947.58,3197000.0,954.12,0.0,230412000.0
01-06-2009,Property,657.52,663.33,652.89,-9797000.0,657.1,0.0,245427000.0
01-06-2009,Services,1187.61,1207.1,1183.73,-12847000.0,1196.86,0.0,409107000.0
01-06-2009,MiningAndOil,3458.76,3462.82,3360.98,-4276000.0,3363.77,0.0,29702000.0
01-06-2009,All Shares,1242.16,1247.81,1240.27,0.0,1242.39,0.0,0.0
01-06-2009,PSEi,1969.58,1984.95,1965.99,186831000.0,1976.05,0.0,1711310000.0
01-07-2009,Financials,485.15,485.99,473.62,124876000.0,473.62,0.0,294993000.0
01-07-2009,Industrials,2332.6,2335.14,2298.26,-66005000.0,2298.29,0.0,317333000.0
01-07-2009,HoldingFirms,991.8,991.8,958.54,84632000.0,958.54,0.0,465808000.0
01-07-2009,Property,681.2,685.33,661.26,65226000.0,661.26,0.0,532860000.0
01-07-2009,Services,1185.61,1189.13,1171.72,-230363000.0,1185.32,0.0,544545000.0
01-07-2009,MiningAndOil,3574.15,3660.16,3474.43,-18979000.0,3474.8,0.0,81150000.0
01-07-2009,All Shares,1268.09,1268.09,1244.97,0.0,1244.97,0.0,0.0
01-07-2009,PSEi,2003.89,2004.68,1974.0,-27443000.0,1974.0,0.0,2236693000.0
01-08-2009,Financials,474.5,477.16,469.89,-15750000.0,477.16,0.0,305751000.0
01-08-2009,Industrials,2281.56,2293.78,2265.73,-95149000.0,2287.47,0.0,271380000.0
01-08-2009,HoldingFirms,962.3,980.94,959.11,-17244000.0,980.94,0.0,170703000.0
01-08-2009,Property,667.82,669.4,661.88,-70699000.0,668.03,0.0,265574000.0
01-08-2009,Services,1180.91,1185.24,1174.87,-53960000.0,1177.0,0.0,220124000.0
01-08-2009,MiningAndOil,3511.2,3588.35,3502.73,-1530000.0,3588.35,0.0,36961000.0
01-08-2009,All Shares,1250.77,1256.04,1245.36,0.0,1256.04,0.0,0.0
01-08-2009,PSEi,1970.72,1976.22,1958.82,-182351000.0,1976.22,0.0,1270494000.0
01-09-2009,Financials,475.52,480.27,474.5,13777000.0,474.5,0.0,227203000.0
01-09-2009,Industrials,2293.16,2303.95,2281.68,-43512000.0,2281.68,0.0,191919000.0
01-09-2009,HoldingFirms,964.71,971.27,962.33,-5948000.0,962.33,0.0,300986000.0
01-09-2009,Property,669.52,673.27,663.57,23699000.0,667.88,0.0,228232000.0
01-09-2009,Services,1194.71,1197.7,1178.56,117155000.0,1180.91,0.0,372859000.0
01-09-2009,MiningAndOil,3586.44,3586.44,3506.88,-1697000.0,3523.83,0.0,31907000.0
01-09-2009,All Shares,1255.68,1259.38,1250.51,0.0,1250.88,0.0,0.0
01-09-2009,PSEi,1984.88,1992.73,1969.39,102895000.0,1970.72,0.0,1353109000.0
01-12-2009,Financials,479.82,480.67,476.28,11344000.0,476.67,0.0,138856000.0
01-12-2009,Industrials,2312.1,2327.88,2285.67,-20129000.0,2293.16,0.0,281044000.0
01-12-2009,HoldingFirms,978.73,981.34,962.66,106465000.0,963.08,0.0,408947000.0
01-12-2009,Property,673.92,677.31,659.82,41377000.0,659.82,0.0,245021000.0
01-12-2009,Services,1194.71,1194.71,1185.36,31836000.0,1193.46,0.0,457831000.0
01-12-2009,MiningAndOil,3653.55,3653.55,3574.3,1641000.0,3586.44,0.0,63336000.0
01-12-2009,All Shares,1262.1,1264.47,1251.96,0.0,1253.05,0.0,0.0
01-12-2009,PSEi,1997.83,2000.0,1976.94,170802000.0,1980.14,0.0,1595038000.0
01-13-2009,Financials,474.02,476.03,471.4,-75155000.0,471.89,0.0,968142000.0
01-13-2009,Industrials,2310.05,2310.38,2297.3,-64738000.0,2297.3,0.0,164784000.0
01-13-2009,HoldingFirms,975.01,979.98,972.56,38335000.0,972.56,0.0,166702000.0
01-13-2009,Property,676.08,682.15,669.99,-35542000.0,669.99,0.0,196722000.0
01-13-2009,Services,1198.84,1204.9,1197.89,29683000.0,1204.85,0.0,370412000.0
01-13-2009,MiningAndOil,3644.65,3652.59,3597.09,-3074000.0,3611.57,0.0,54074000.0
01-13-2009,All Shares,1262.19,1264.26,1259.82,0.0,1260.05,0.0,0.0
01-13-2009,PSEi,1996.04,2001.79,1990.74,-963697000.0,1992.01,0.0,1920840000.0
01-14-2009,Financials,472.11,475.4,469.59,15629000.0,475.17,0.0,89694000.0
01-14-2009,Industrials,2291.01,2304.35,2280.29,-48532000.0,2301.2,0.0,163236000.0
01-14-2009,HoldingFirms,973.22,981.37,970.36,40108000.0,979.62,0.0,130479000.0
01-14-2009,Property,663.04,673.14,663.04,-83278000.0,668.61,0.0,222470000.0
01-14-2009,Services,1200.88,1205.23,1195.99,172067000.0,1205.23,0.0,440003000.0
01-14-2009,MiningAndOil,3519.47,3638.31,3504.04,-7008000.0,3582.55,0.0,58648000.0
01-14-2009,All Shares,1255.59,1262.75,1253.26,0.0,1261.82,0.0,0.0
01-14-2009,PSEi,1984.92,1998.59,1980.57,88971000.0,1995.12,0.0,1104532000.0
01-15-2009,Financials,465.76,465.83,461.35,-15243000.0,464.96,0.0,93481000.0
01-15-2009,Industrials,2241.85,2269.85,2231.76,-113728000.0,2269.85,0.0,243035000.0
01-15-2009,HoldingFirms,948.59,959.09,940.37,-2338000.0,959.09,0.0,189956000.0
01-15-2009,Property,658.52,659.56,650.27,2457000.0,657.9,0.0,148526000.0
01-15-2009,Services,1189.19,1196.18,1166.34,-25250000.0,1196.18,0.0,421309000.0
01-15-2009,MiningAndOil,3444.06,3479.32,3378.55,-871000.0,3478.57,0.0,44834000.0
01-15-2009,All Shares,1240.23,1245.84,1233.26,0.0,1245.84,0.0,0.0
01-15-2009,PSEi,1954.97,1965.22,1939.86,-154094000.0,1965.22,0.0,1141143000.0
01-16-2009,Financials,463.69,469.27,463.43,-14793000.0,466.38,0.0,100696000.0
01-16-2009,Industrials,2198.83,2241.79,2177.65,-158950000.0,2241.79,0.0,568504000.0
01-16-2009,HoldingFirms,956.34,962.77,951.95,59984000.0,951.95,0.0,143968000.0
01-16-2009,Property,656.1,666.51,656.1,-10115000.0,660.86,0.0,100154000.0
01-16-2009,Services,1194.61,1205.81,1192.43,-126572000.0,1205.81,0.0,482095000.0
01-16-2009,MiningAndOil,3450.73,3487.85,3394.42,-3857000.0,3482.59,0.0,22308000.0
01-16-2009,All Shares,1238.77,1248.07,1238.19,0.0,1248.07,0.0,0.0
01-16-2009,PSEi,1950.13,1969.42,1948.79,-254571000.0,1969.42,0.0,1417727000.0
01-19-2009,Financials,459.21,467.8,458.38,-28751000.0,463.31,0.0,83145000.0
01-19-2009,Industrials,2164.94,2205.1,2159.1,-169604000.0,2198.83,0.0,466170000.0
01-19-2009,HoldingFirms,949.94,967.7,948.52,26783000.0,956.99,0.0,82728000.0
01-19-2009,Property,650.33,657.47,650.18,1587000.0,657.47,0.0,147576000.0
01-19-2009,Services,1177.14,1194.7,1176.5,-41216000.0,1194.61,0.0,118543000.0
01-19-2009,MiningAndOil,3389.72,3464.13,3387.63,-1531000.0,3457.92,0.0,24145000.0
01-19-2009,All Shares,1230.75,1244.12,1229.45,0.0,1239.04,0.0,0.0
01-19-2009,PSEi,1922.99,1954.41,1922.25,-212317000.0,1950.4,0.0,922310000.0
01-20-2009,Financials,457.08,461.45,452.44,-8129000.0,461.45,0.0,60034000.0
01-20-2009,Industrials,2153.35,2176.22,2121.94,-35385000.0,2175.05,0.0,4469411000.0
01-20-2009,HoldingFirms,948.2,951.65,933.03,33365000.0,951.65,0.0,91337000.0
01-20-2009,Property,648.58,648.58,637.42,-23711000.0,646.59,0.0,197728000.0
01-20-2009,Services,1145.58,1177.01,1131.95,-123991000.0,1177.01,0.0,228361000.0
01-20-2009,MiningAndOil,3313.36,3389.71,3227.13,-741000.0,3389.71,0.0,20602000.0
01-20-2009,All Shares,1227.73,1243.4,1218.14,0.0,1238.16,0.0,0.0
01-20-2009,PSEi,1897.93,1925.62,1871.33,-160605000.0,1925.62,0.0,5067475000.0
01-21-2009,Financials,448.65,452.11,442.57,-54018000.0,452.11,0.0,140317000.0
01-21-2009,Industrials,2118.15,2145.03,2102.03,-144744000.0,2145.03,0.0,409602000.0
01-21-2009,HoldingFirms,915.25,944.95,906.41,-11535000.0,944.95,0.0,159600000.0
01-21-2009,Property,624.34,638.15,619.11,-42990000.0,638.15,0.0,202366000.0
01-21-2009,Services,1108.33,1142.65,1101.07,-110490000.0,1142.65,0.0,273246000.0
01-21-2009,MiningAndOil,3273.09,3308.27,3173.52,-5036000.0,3308.27,0.0,19819000.0
01-21-2009,All Shares,1203.14,1221.34,1196.18,0.0,1221.34,0.0,0.0
